R(Bohr),-1,-2,-3
5,-0.23204,-0.203722,-0.189342
5.2,-0.239847,-0.210011,-0.199155
5.4,-0.246029,-0.214518,-0.207154
5.6,-0.251008,-0.217752,-0.213753
5.8,-0.255063,-0.220058,-0.219238
6,-0.258385,-0.223812,-0.221678
6.2,-0.261109,-0.227625,-0.222781
6.4,-0.263332,-0.230791,-0.223486
6.6,-0.265132,-0.233402,-0.22515
6.8,-0.266569,-0.235534,-0.227417
7,-0.267696,-0.237247,-0.229235
7.2,-0.268557,-0.238598,-0.230661
7.4,-0.269191,-0.239631,-0.231745
7.6,-0.269636,-0.240391,-0.232534
7.8,-0.269921,-0.240913,-0.233066
8,-0.270075,-0.241228,-0.233378
8.2,-0.270122,-0.241367,-0.2335
8.4,-0.270085,-0.241355,-0.233463
8.6,-0.269984,-0.241216,-0.23329
8.8,-0.269833,-0.240968,-0.233002
9,-0.269646,-0.24063,-0.232619
9.2,-0.269436,-0.24022,-0.232158
9.4,-0.269211,-0.239752,-0.231635
9.6,-0.268981,-0.239239,-0.231062
9.8,-0.268749,-0.238693,-0.230448
10,-0.268522,-0.238125,-0.229806
10.2,-0.268302,-0.237546,-0.229143
10.4,-0.268092,-0.236962,-0.228465
10.6,-0.267893,-0.236382,-0.227779
10.8,-0.267708,-0.235813,-0.227092
11,-0.267535,-0.235259,-0.226405
11.4,-0.267228,-0.234217,-0.225055
11.6,-0.267094,-0.233734,-0.224397
11.8,-0.266971,-0.23328,-0.223753
12,-0.266859,-0.232855,-0.223126
12.2,-0.266758,-0.232459,-0.222517
12.4,-0.266666,-0.232093,-0.221929
12.6,-0.266582,-0.231754,-0.221361
12.8,-0.266507,-0.231445,-0.220816
13,-0.266439,-0.231161,-0.220293
13.2,-0.266376,-0.230901,-0.219793
13.4,-0.266321,-0.230666,-0.219316
13.6,-0.266271,-0.230452,-0.218862
13.8,-0.266225,-0.230256,-0.218429
14,-0.266184,-0.230079,-0.218018
14.2,-0.266146,-0.229919,-0.217628
14.4,-0.266112,-0.229773,-0.217258
14.6,-0.266082,-0.229641,-0.216907
14.8,-0.266054,-0.229522,-0.216575
15,-0.266029,-0.229413,-0.216259
15.2,-0.266007,-0.229314,-0.215959
15.4,-0.265985,-0.229223,-0.215673
15.6,-0.265967,-0.229142,-0.215402
15.8,-0.265949,-0.229066,-0.215143
16,-0.265933,-0.228998,-0.214897
16.2,-0.265918,-0.228935,-0.214661
16.4,-0.265905,-0.228878,-0.214437
16.6,-0.265893,-0.228825,-0.214221
16.8,-0.265881,-0.228776,-0.214014
17,-0.265871,-0.228732,-0.213818
17.2,-0.265862,-0.228691,-0.213628
17.4,-0.265852,-0.228653,-0.213447
17.6,-0.265845,-0.228618,-0.213275
17.8,-0.265837,-0.228585,-0.213109
18,-0.26583,-0.228555,-0.212952
18.2,-0.265823,-0.228527,-0.212802
18.4,-0.265817,-0.228501,-0.212662
18.6,-0.265812,-0.228477,-0.212531
18.8,-0.265807,-0.228455,-0.212409
19,-0.265802,-0.228434,-0.212296
19.2,-0.265797,-0.228414,-0.212194
19.4,-0.265793,-0.228395,-0.212102
19.6,-0.265789,-0.228378,-0.21202
19.8,-0.265785,-0.228362,-0.211947
20,-0.265781,-0.228347,-0.211883
20.5,-0.265774,-0.228314,-0.211756
21,-0.265768,-0.228285,-0.21166
21.5,-0.265762,-0.22826,-0.211587
22,-0.265757,-0.228239,-0.21153
22.5,-0.265752,-0.22822,-0.211483
23,-0.265748,-0.228204,-0.211444
24,-0.265742,-0.228177,-0.211382
24.5,-0.26574,-0.228167,-0.211358
25,-0.265737,-0.228158,-0.211336
25.5,-0.265735,-0.228149,-0.211317
26.5,-0.265732,-0.228135,-0.211284
27,-0.26573,-0.228129,-0.21127
27.5,-0.265729,-0.228124,-0.211257
28,-0.265727,-0.228119,-0.211245
28.5,-0.265726,-0.228115,-0.211235
29,-0.265725,-0.228111,-0.211225
29.5,-0.265724,-0.228107,-0.211216
30,-0.265723,-0.228104,-0.211208
31,-0.265722,-0.228099,-0.211193
32,-0.265721,-0.228094,-0.21118
33,-0.26572,-0.22809,-0.211169
34,-0.265719,-0.228087,-0.21116
35,-0.265718,-0.228084,-0.211152
36,-0.265717,-0.228082,-0.211145
37,-0.265717,-0.22808,-0.211139
38,-0.265716,-0.228078,-0.211133
39,-0.265716,-0.228077,-0.211129
40,-0.265716,-0.228076,-0.211125
41,-0.265715,-0.228074,-0.211122
42,-0.265715,-0.228074,-0.211119
43,-0.265715,-0.228073,-0.211116
44,-0.265715,-0.228072,-0.211114
45,-0.265714,-0.228072,-0.211113
46,-0.265714,-0.228071,-0.211111
47,-0.265714,-0.228071,-0.21111
48,-0.265714,-0.22807,-0.211109
49,-0.265714,-0.22807,-0.211108
50,-0.265714,-0.22807,-0.211108
51,-0.265713,-0.22807,-0.211107
52,-0.265713,-0.228069,-0.211107
53,-0.265713,-0.228069,-0.211106
54,-0.265713,-0.228069,-0.211106
55,-0.265713,-0.228069,-0.211106
56,-0.265713,-0.228069,-0.211105
57,-0.265713,-0.228069,-0.211105
58,-0.265713,-0.228069,-0.211105
59,-0.265713,-0.228068,-0.211105
60,-0.265713,-0.228068,-0.211105
60,-0.265713,-0.228068,-0.211105
60,-0.265713,-0.228068,-0.211105
